อันดับ,ชื่อกองทุน (Master Fund),1W (1 สัปดาห์),1M (1 เดือน),1Y (1 ปี),,,,
1,Invesco NASDAQ-100 ETF,+฿850 ลบ.,+฿3.22 พันล.,+฿18.5 พันล.,,,,
2,SPDR Gold Shares,+฿420 ลบ.,+฿1.62 พันล.,+฿9.8 พันล.,,,,
3,iShares MSCI South Korea ETF,+฿110 ลบ.,+฿410 ลบ.,+฿2.1 พันล.,,,,
4,abrdn European Sustainable Equity,+฿25 ลบ.,+฿90 ลบ.,+฿450 ลบ.,,,,
5,Baillie Gifford Positive Change,-฿60 ลบ.,-฿220 ลบ.,-฿1.1 พันล.,,,,
,,,,,,,,
อันดับ,ชื่อกองทุน (Master Fund),1M,3M,1Y,3Y (ต่อปี),5Y (ต่อปี),,
1,Invesco NASDAQ-100 ETF,/+1.9%,/+4.1%,0.242,0.245,0.145,,
2,SPDR Gold Shares,-6.20%,-8.70%,0.21,0.13,0.139,,
3,iShares MSCI South Korea ETF,-1.70%,/+68%,0.11,0.167,0.038,,
4,abrdn European Sustainable Equity,/+0.8%,/+2.3%,0.068,0.052,0.041,,
5,Baillie Gifford Positive Change,-1.20%,/+1.5%,0.051,-2.40%,0.028,,
,,,,,,,,
อันดับ,ชื่อกองทุน (Master Fund),อัตราปันผลย้อนหลัง 12 เดือน (Dividend Yield),,,,,,
1,Invesco NASDAQ-100 ETF,0.44%,,,,,,
2,iShares MSCI South Korea ETF,1.01%,,,,,,
3,Baillie Gifford Positive Change,-,,,,,,
4,abrdn European Sustainable Equity,-,,,,,,
5,SPDR Gold Shares,-,,,,,,
,,,,,,,,
กองทุน (Master Fund),ผลตอบแทน 1 ปี (1Y Return),AUM (มูลค่าสินทรัพย์),Max Drawdown,P/E Ratio,P/B Ratio,เทียบจุดอ้างอิง (+/- %),ดัชนีประจำกอง (Benchmark),Top 3 Exposures (สินทรัพย์/หุ้น 3 อันดับแรก)
Invesco NASDAQ-100 ETF (QQQM / QQQ),0.242,~$101.6B USD,~ -35.1%,~30.0x,~9.3x,-0.3%,NASDAQ-100 Index,1. NVIDIA (~8.6%) 2. Microsoft (~8.4%) 3. Apple (~8.2%)
SPDR Gold Shares (GLD),0.21,~$70B+ USD,~ -45.6%,N/A,N/A,-0.4%,LBMA Gold Price PM,1. Physical Gold Bullion (100%)
iShares MSCI South Korea ETF (EWY),0.11,~$3.8B USD,~ -55.8%,~12.5x,~1.1x,-0.3%,MSCI Korea 25/50 Index,1. Samsung Electronics (~21.2%) 2. SK Hynix (~19.8%) 3. SK Square (~3.1%)
abrdn European Sustainable Equity,0.068,~€1.2B EUR,~ -28.4%,~20.5x,~3.2x,-1.4%,MSCI Europe Index,1. ASML Holding (~8.3%) 2. FinecoBank (~5.4%) 3. Hiscox (~4.3%)
Baillie Gifford Positive Change,0.051,~£1.8B GBP,~ -52.3%,~31.8x,~5.4x,-13.5%,MSCI ACWI Index,1. TSMC (~8.5%) 2. ASML Holding (~6.3%) 3. KLA Corporation (~4.5%)
