,,,,,,,,
อันดับ,รายชื่อกองทุน / สินทรัพย์,1W (1 สัปดาห์),1M (1 เดือน)*,1Y (1 ปี)**,,,,
1,บัวหลวงผสม 75/25,+75 ลบ.,+300 ลบ.,"+2,400 ลบ.",,,,
2,ไทยพาณิชย์ ผสมระมัดระวัง,+45 ลบ.,+180 ลบ.,"+1,500 ลบ.",,,,
3,กรุงศรี ผสมหลากหลายสินทรัพย์,+35 ลบ.,+150 ลบ.,"+1,100 ลบ.",,,,
4,วรรณ ผสมหุ้น+ทองคำ,+20 ลบ.,+80 ลบ.,+650 ลบ.,,,,
,,,,,,,,
รายชื่อกองทุน / สินทรัพย์,1M (1 เดือน),3M (3 เดือน),1Y (1 ปี)*,3Y (3 ปี),5Y (5 ปี),,,
**บัวหลวงผสม 75/25**,+2.4%,+8.2%,+18.0%,+1.4%,-1.10%,,,
**วรรณ ผสมหุ้น+ทองคำ**,+1.8%,+4.5%,+12.5%,+20.9%,+12.1%,,,
**กรุงศรี ผสมหลากหลายสินทรัพย์**,+0.8%,+2.2%,+8.4%,+3.2%,+7.7%,,,
**ไทยพาณิชย์ ผสมระมัดระวัง**,+0.6%,+1.5%,+5.2%,+4.8%,+1.1%,,,
,,,,,,,,
อันดับ,รายชื่อกองทุน / สินทรัพย์,อัตราจ่ายปันผล (ย้อนหลัง 12 เดือน),,,,,,
1,ไทยพาณิชย์ ผสมระมัดระวัง,1.6%,,,,,,
2,กรุงศรี ผสมหลากหลายสินทรัพย์,1.1%,,,,,,
3,บัวหลวงผสม 75/25,0.9%,,,,,,
4,วรรณ ผสมหุ้น+ทองคำ,0.7%,,,,,,
,,,,,,,,
รายชื่อกองทุน,ผลตอบแทน 1 ปี,AUM (ขนาดกองทุน),Max Drawdown,Avg P/E / Avg P/B (ส่วนพอร์ตหุ้น),NAV (บาท/หน่วย),เทียบจุดอ้างอิง (vs Benchmark),เงินปันผล (12M Yield),Top Holdings / สินทรัพย์หลักที่ถือครอง
บัวหลวงผสม 75/25(BM75/25),+18.0%,"~฿4,200 ลบ.",-11.5%,P/E: 14.8x P/B: 1.4x,~฿38.50,+4.2% (vs Mixed BM 75/25),0.9% (จ่ายปันผล),• หุ้นไทย (มุ่งเน้น SET50) \~75%<br>• พันธบัตรรัฐบาล/หุ้นกู้ \~20%<br>• เงินฝาก/สภาพคล่อง \~5%
ไทยพาณิชย์ ผสมระมัดระวัง(SCBCF),+5.2%,"~฿1,850 ลบ.",-5.2%,P/E: 12.5x P/B: 1.2x,~฿14.20,+0.8% (vs Conservative BM),1.6% (จ่ายปันผล),• ตราสารหนี้ภาครัฐ/เอกชน \~70%<br>• หุ้นไทยปันผลสูง \~25%<br>• เงินฝากสถาบันการเงิน \~5%
กรุงศรี ผสมหลากหลายสินทรัพย์(KF-BALANCED),+8.4%,"~฿2,100 ลบ.",-8.1%,P/E: 13.9x P/B: 1.3x,~฿22.80,+1.5% (vs Balanced BM),1.1% (จ่ายปันผล),"• หุ้นไทยใหญ่ (PTT, ADVANC) \~45%<br>• พันธบัตรรัฐบาลระยะยาว \~45%<br>• ตราสารหนี้ภาคเอกชน \~10%"
วรรณ ผสมหุ้น+ทองคำ(ONE-MIXEDGOLD),+12.5%,~฿950 ลบ.,-14.2%,P/E: 15.2x P/B: 1.5x,~฿16.40,+2.1% (vs Mixed/Gold BM),0.7% (จ่ายปันผล),• กองทุนรวมทองคำ (Gold ETF) \~30%<br>• หุ้นเติบโตไทย/ต่างประเทศ \~50%<br>• ตราสารหนี้ระยะสั้น \~20%
