อันดับ,ชื่อกองทุนไทย (Offshore Equity Fund),1W (1 สัปดาห์),1M (1 เดือน),1Y (1 ปี),,,
1,SCBRMS&P500 (หุ้นสหรัฐ S&P500),+฿180 ลบ.,+฿720 ลบ.,+฿5.60 พันลบ.,,,
2,K-USXNDQ-A(A) (หุ้นเทคโนโลยี US NASDAQ-100),+฿120 ลบ.,+฿540 ลบ.,+฿4.20 พันลบ.,,,
3,KKP G-THEME-HA (หุ้นเติบโต Global Theme),+฿85 ลบ.,+฿310 ลบ.,+฿2.10 พันลบ.,,,
4,KF-GTECH (หุ้นเทคโนโลยีระดับโลก),+฿60 ลบ.,+฿240 ลบ.,+฿1.85 พันลบ.,,,
5,SCBKEQTG (หุ้นเกาหลีใต้),-฿15 ลบ.,+฿110 ลบ.,+฿950 ลบ.,,,
,,,,,,,
อันดับ,ชื่อกองทุนไทย (Offshore Equity Fund),1M (1 เดือน),3M (3 เดือน),1Y (1 ปี),3Y (3 ปี),5Y (5 ปี),
1,DAOL-GOLD (หุ้นเหมืองทองคำและโลหะมีค่า),0.054,0.121,0.285,41.20%,0.65,
2,KT-PRECIOUS (หุ้นเหมืองทองคำระดับโลก),0.048,0.105,0.248,35.10%,0.524,
3,K-USXNDQ-A(A) (หุ้นเทคโนโลยี US NASDAQ-100),0.041,0.115,0.238,47.20%,0.925,
4,ASP-DIGIBLOC (หุ้นนวัตกรรมบล็อกเชน),0.021,0.084,0.182,-15.40%,0.102,
5,SCBKEQTG (หุ้นเกาหลีใต้),0.015,0.049,0.108,-6.20%,0.085,
,,,,,,,
อันดับ,ชื่อกองทุนไทย (Offshore Equity Fund),Dividend Yield (%),,,,,
1,LH GLOBAL BLOCKCHAIN-D,6.50%,,,,,
2,KFGPROP-D (อสังหาริมทรัพย์และ REITs ต่างประเทศ),5.80%,,,,,
3,T-PREMIUM BRAND (หุ้นแบรนด์เนมและสินค้าลักชัวรี),4.20%,,,,,
4,SCB Japan Equity Dividend (SCBJANEQ) (หุ้นญี่ปุ่นปันผล),3.50%,,,,,
5,K-USXNDQ-A(D) (หุ้น US NASDAQ-100 ชนิดจ่ายปันผล),2.10%,,,,,
,,,,,,,
ชื่อกองทุน,Header,Return (1Y Return),Drawdown (Max Drawdown),vs Benchmark,Size & Valuation,Dividend / Policy,Top Holdings
SCBRMS&P500,SCBRMS&P500 · หุ้นสหรัฐฯ (S&P 500 Index) · RMF,+21.4%,-14.2%,-0.5% (vs S&P 500),AUM ฿18.5 พันลบ. · NAV ฿28.45 · Avg P/E 24.5x · Avg P/B 4.2x,ไม่มีปันผล (RMF),"NVIDIA (6.8%), Microsoft (6.5%), Apple (6.1%), Amazon (3.8%), Meta (2.4%)"
K-USXNDQ-A(A),K-USXNDQ-A(A) · หุ้นเทคโนโลยีสหรัฐฯ (NASDAQ-100),+23.8%,-18.5%,-0.8% (vs NASDAQ-100),AUM ฿14.2 พันลบ. · NAV ฿35.12 · Avg P/E 29.8x · Avg P/B 6.1x,ไม่จ่ายปันผล (สะสมมูลค่า),"NVIDIA (8.5%), Apple (8.1%), Microsoft (7.8%), Broadcom (4.6%), Amazon (4.5%)"
KKP G-THEME-HA,KKP G-THEME-HA · หุ้นเติบโตระดับโลก (Global Growth),+18.5%,-21%,+2.1% (vs MSCI World),AUM ฿8.6 พันลบ. · NAV ฿18.90 · Avg P/E 32.4x · Avg P/B 4.8x,ไม่จ่ายปันผล,"Amazon (6.2%), Meta (5.5%), TSMC (4.8%), ASML (4.1%), MercadoLibre (3.9%)"
KF-GTECH,KF-GTECH · หุ้นเทคโนโลยีระดับโลก,+22.1%,-19.8%,+1.2% (vs MSCI World Tech),AUM ฿6.8 พันลบ. · NAV ฿22.40 · Avg P/E 31.0x · Avg P/B 5.5x,ไม่จ่ายปันผล,"NVIDIA (9.2%), Microsoft (8.1%), Broadcom (5.4%), Cadence Design (4.2%), ASML (3.8%)"
SCBKEQTG,SCBKEQTG · หุ้นประเทศเกาหลีใต้,+10.8%,-24.5%,-0.4% (vs MSCI Korea),AUM ฿3.2 พันลบ. · NAV ฿12.15 · Avg P/E 11.2x · Avg P/B 0.9x,ไม่จ่ายปันผล,"Samsung Electronics (21.5%), SK Hynix (9.8%), POSCO Holdings (4.2%), Hyundai Motor (3.1%), Naver (2.8%)"
,,,,,,,
,,,,,,,
,,,,,,,
ชื่อกองทุน,Header,Return (1Y Return),Drawdown (Max Drawdown),vs Benchmark,Size & Valuation,Dividend / Policy,Top Holdings
LH GLOBAL BLOCKCHAIN-D,LH GLOBAL BLOCKCHAIN-D · หุ้นบล็อกเชนและสินทรัพย์ดิจิทัล,+15.4%,-28.6%,-1.10%,AUM ฿520 ลบ. · NAV ฿8.75 · Avg P/E 35.2x · Avg P/B 3.8x,Dividend Yield 6.5% · ปันผลสม่ำเสมอ,"Coinbase (8.5%), Block Inc (6.9%), Marathon Digital (5.8%), Riot Platforms (4.5%), Hut 8 Mining (3.8%)"
KFGPROP-D,KFGPROP-D · อสังหาริมทรัพย์และ REITs ต่างประเทศ,+8.2%,-12.4%,-0.30%,AUM ฿1.8 พันลบ. · NAV ฿10.40 · Avg P/E 19.8x · Avg P/B 1.4x,Dividend Yield 5.8% · จ่ายปันผลรายไตรมาส,"Prologis (7.8%), Equinix (6.2%), Welltower (5.1%), Simon Property Group (4.3%), Public Storage (3.9%)"
T-PREMIUM BRAND,T-PREMIUM BRAND · หุ้นสินค้าลักชัวรีและแบรนด์เนมระดับโลก,+11.5%,-15.1%,-0.80%,AUM ฿1.1 พันลบ. · NAV ฿13.60 · Avg P/E 25.4x · Avg P/B 4.8x,Dividend Yield 4.2% · จ่ายปันผล,"LVMH (8.4%), Hermès (7.2%), Ferrari (6.1%), Compagnie Financière Richemont (5.3%), L'Oréal (4.5%)"
SCBJANEQ,SCBJANEQ · หุ้นญี่ปุ่นขนาดใหญ่และมีปันผล,+12.1%,-13.8%,+0.2%,AUM ฿980 ลบ. · NAV ฿11.85 · Avg P/E 14.2x · Avg P/B 1.3x,Dividend Yield 3.5% · จ่ายปันผล,"Toyota Motor (5.8%), Sony Group (4.9%), Mitsubishi UFJ Financial (4.5%), Keyence (3.8%), Tokyo Electron (3.2%)"
K-USXNDQ-A(D),K-USXNDQ-A(D) · หุ้นเทคโนโลยีสหรัฐฯ (NASDAQ-100),+23.5%,-18.5%,-1.10%,AUM ฿3.5 พันลบ. · NAV ฿24.80 · Avg P/E 29.8x · Avg P/B 6.1x,Dividend Yield 2.1% · จ่ายปันผลรายปี,"NVIDIA (8.5%), Apple (8.1%), Microsoft (7.8%), Broadcom (4.6%), Amazon (4.5%)"
,,,,,,,
,,,,,,,
ชื่อกองทุน,Header,1Y Return,Max Drawdown,vs Benchmark,Size & Valuation,Dividend / Policy,Top Holdings
DAOL-GOLD,DAOL-GOLD · หุ้นเหมืองทองคำและโลหะมีค่า,+28.5%,-16.8%,\+1.8% เทียบ MSCI ACWI *(หรือ NYSE Arca Gold Miners)*,AUM ฿1.4 พันลบ. · NAV ฿15.80 · Avg P/E 18.2x · Avg P/B 1.8x,ไม่จ่ายปันผล (สะสมมูลค่า),"Agnico Eagle Mines (8.2%), Wheaton Precious Metals (7.5%), Barrick Gold (6.8%), Fresnillo (5.1%), Pan American Silver (4.4%)"
KT-PRECIOUS,KT-PRECIOUS · หุ้นเหมืองทองคำระดับโลก,+24.8%,-17.2%,\+0.9% เทียบ MSCI ACWI *(หรือ FTSE Gold Mines)*,AUM ฿2.1 พันลบ. · NAV ฿14.25 · Avg P/E 17.5x · Avg P/B 1.6x,ไม่จ่ายปันผล (สะสมมูลค่า),"Newmont (9.1%), Endeavour Mining (6.5%), Perseus Mining (5.2%), Gold Fields (4.8%), Alamos Gold (4.1%)"
K-USXNDQ-A(A),K-USXNDQ-A(A) · หุ้นเทคโนโลยีสหรัฐฯ (NASDAQ-100),+23.8%,-18.5%,\-0.8% เทียบ MSCI ACWI *(หรือ NASDAQ-100)*,AUM ฿14.2 พันลบ. · NAV ฿35.12 · Avg P/E 29.8x · Avg P/B 6.1x,ไม่จ่ายปันผล (สะสมมูลค่า),"NVIDIA (8.5%), Apple (8.1%), Microsoft (7.8%), Broadcom (4.6%), Amazon (4.5%)"
ASP-DIGIBLOC,ASP-DIGIBLOC · หุ้นนวัตกรรมและโครงสร้างพื้นฐานบล็อกเชน,+18.2%,-32.4%,+1.9% เทียบ MSCI ACWI,AUM ฿890 ลบ. · NAV ฿9.85 · Avg P/E 38.5x · Avg P/B 4.1x,ไม่จ่ายปันผล (สะสมมูลค่า),"MicroStrategy (8.9%), Coinbase (8.2%), NVIDIA (6.5%), Marathon Digital (5.4%), CleanSpark (4.1%)"
SCBKEQTG,SCBKEQTG · หุ้นประเทศเกาหลีใต้,+10.8%,-24.5%,\-0.4% เทียบ MSCI ACWI *(หรือ MSCI Korea)*,AUM ฿3.2 พันลบ. · NAV ฿12.15 · Avg P/E 11.2x · Avg P/B 0.9x,ไม่จ่ายปันผล (สะสมมูลค่า),"Samsung Electronics (21.5%), SK Hynix (9.8%), POSCO Holdings (4.2%), Hyundai Motor (3.1%), Naver (2.8%)"
