อันดับ,ชื่อกองทุนไทย (Thai Equity Fund),1W (1 สัปดาห์),1M (1 เดือน),1Y (1 ปี),,,,
1,K-CASH (ตลาดเงิน/สภาพคล่องสูง),+฿450 ลบ.,"+฿1,850 ลบ.","+฿12,400 ลบ.",,,,
2,SCBDV (กองทุนหุ้นไทยปันผลสูง),+฿95 ลบ.,+฿380 ลบ.,"+฿2,150 ลบ.",,,,
3,K-SET50 (กองทุนดัชนี SET50),+฿70 ลบ.,+฿290 ลบ.,"+฿1,800 ลบ.",,,,
4,TISCOHD (กองทุนหุ้นไทยปันผลสูง),+฿45 ลบ.,+฿185 ลบ.,"+฿1,200 ลบ.",,,,
5,ONE-DAILY-RA (กองทุนตลาดเงิน),+฿40 ลบ.,+฿190 ลบ.,"+฿1,450 ลบ.",,,,
,,,,,,,,
อันดับ,ชื่อกองทุนไทย (Thai Equity Fund),1M (1 เดือน),3M (3 เดือน),1Y (1 ปี),3Y (3 ปี),5Y (5 ปี),,
1,TISCOHD (หุ้นไทยปันผลสูง/กลุ่มแบงก์-สื่อสาร),+2.80%,+6.40%,+14.20%,+22.50%,+38.10%,,
2,SCBDV (หุ้นไทยใหญ่ปันผลสม่ำเสมอ),+2.20%,+5.80%,+12.80%,+19.40%,+32.50%,,
3,K-SELECT (หุ้นไทยคัดสรรเด่น),+1.90%,+4.50%,+10.10%,+12.80%,+25.40%,,
4,ONE-SECTOP (หุ้นไทยกลุ่มผู้นำอุตสาหกรรม),+1.20%,+3.80%,+8.50%,+10.20%,+21.50%,,
5,K-SET50 (อิงดัชนี SET50),+0.80%,+2.90%,+6.40%,+7.50%,+15.80%,,
,,,,,,,,
อันดับ,ชื่อกองทุนไทย (Thai Equity Fund),Dividend Yield (%),,,,,,
1,TISCOHD,6.80%,,,,,,
2,SCBDV,5.90%,,,,,,
3,1AMSET50-D,5.20%,,,,,,
4,LHSTOCKS-D,4.80%,,,,,,
5,K-VALUE,4.10%,,,,,,
,,,,,,,,
ชื่อกองทุน,Header,Return (1Y Return),Drawdown (Max Drawdown),vs Benchmark,Size & Valuation,Dividend / Policy,Top Holdings,
K-CASH,K-CASH · ตลาดเงิน / ความเสี่ยงต่ำ (Level 1),+1.85%,0%,+0.05% (vs Short-term Bond Index),AUM ฿48.5 พันลบ. · NAV ฿14.22 · Avg Yield to Maturity 2.15% (ตลาดเงินใช้ YTM แทน P/E),ไม่จ่ายปันผล (เน้นสภาพคล่อง),"พันธบัตรธนาคารแห่งประเทศไทย (28.5%), ตั๋วแลกเงิน ธ.กสิกรไทย (15.2%), พันธบัตรรัฐบาล (12.4%), เงินฝาก ธ.กรุงเทพ (10.1%)",
SCBDV,SCBDV · หุ้นไทยขนาดใหญ่ปันผลสูง,+12.8%,-11.2%,+3.2% (vs SET TRI),AUM ฿12.4 พันลบ. · NAV ฿13.45 · Avg P/E 12.8x · Avg P/B 1.2x,Dividend Yield 5.9% · จ่ายปันผล,"PTT (7.2%), ADVANC (6.8%), KTB (6.1%), SCB (5.5%), CPALL (4.9%)",
K-SET50,K-SET50 · หุ้นไทยดัชนี SET50,+6.4%,-13.5%,-0.1% (vs SET50 TRI),AUM ฿10.8 พันลบ. · NAV ฿18.10 · Avg P/E 14.5x · Avg P/B 1.4x,ไม่จ่ายปันผล,"DELTA (9.8%), PTT (6.5%), ADVANC (5.8%), AOT (5.2%), GULF (4.6%)",
TISCOHD,TISCOHD · หุ้นไทยปันผลสูง (High Dividend),+14.2%,-10.5%,+4.6% (vs SET TRI),AUM ฿6.5 พันลบ. · NAV ฿16.75 · Avg P/E 10.5x · Avg P/B 1.1x,Dividend Yield 6.8% · จ่ายปันผล,"KTB (8.1%), ADVANC (7.5%), INTUCH (6.2%), TISCO (5.8%), SCB (5.1%)",
ONE-DAILY-RA,ONE-DAILY-RA · ตลาดเงิน / รับซื้อคืนอัตโนมัติ,+1.92%,0%,+0.12% (vs Short-term Bond Index),AUM ฿8.2 พันลบ. · NAV ฿11.05 · Avg Yield to Maturity 2.20%,ขายคืนอัตโนมัติ (Auto-Redeem),"พันธบัตรธนาคารแห่งประเทศไทย (32.1%), เงินฝากประจำ ธ.ออมสิน (18.4%), ตั๋วแลกเงิน ธ.กรุงศรี (12.5%)",
,,,,,,,,
ชื่อกองทุน,Header,1Y Return,Max Drawdown,vs Benchmark,Size & Valuation,Dividend / Policy,Top Holdings,
TISCOHD,TISCOHD · หุ้นไทยปันผลสูง (High Dividend),+14.2%,-10.5%,+4.6% เทียบ SET TRI,AUM ฿6.5 พันลบ. · NAV ฿16.75 · Avg P/E 10.5x · Avg P/B 1.1x,Dividend Yield 6.8% · จ่ายเงินปันผล,"KTB (8.1%), ADVANC (7.5%), INTUCH (6.2%), TISCO (5.8%), SCB (5.1%)",
SCBDV,SCBDV · หุ้นไทยใหญ่ปันผลสม่ำเสมอ,+12.8%,-11.2%,+3.2% เทียบ SET TRI,AUM ฿12.4 พันลบ. · NAV ฿13.45 · Avg P/E 12.8x · Avg P/B 1.2x,Dividend Yield 5.9% · จ่ายเงินปันผล,"PTT (7.2%), ADVANC (6.8%), KTB (6.1%), SCB (5.5%), CPALL (4.9%)",
K-SELECT,K-SELECT · หุ้นไทยคัดสรรเด่น (Active Stock Selection),+10.1%,-12.8%,+0.5% เทียบ SET TRI,AUM ฿3.2 พันลบ. · NAV ฿15.20 · Avg P/E 16.2x · Avg P/B 1.6x,ไม่จ่ายปันผล (สะสมมูลค่า),"DELTA (8.9%), AOT (6.8%), GULF (6.2%), CPALL (5.4%), KBANK (4.8%)",
ONE-SECTOP,ONE-SECTOP · หุ้นไทยกลุ่มผู้นำอุตสาหกรรม,+8.5%,-13.2%,-1.1% เทียบ SET TRI,AUM ฿1.9 พันลบ. · NAV ฿12.80 · Avg P/E 15.1x · Avg P/B 1.5x,ไม่จ่ายปันผล (สะสมมูลค่า),"PTT (7.8%), KBANK (6.5%), ADVANC (6.1%), BDMS (5.2%), CPN (4.6%)",
K-SET50,K-SET50 · หุ้นไทยดัชนี SET50 (Passive Index),+6.4%,-13.5%,\-0.1% เทียบ SET TRI *(หรือ SET50 TRI)*,AUM ฿10.8 พันลบ. · NAV ฿18.10 · Avg P/E 14.5x · Avg P/B 1.4x,ไม่จ่ายปันผล (สะสมมูลค่า),"DELTA (9.8%), PTT (6.5%), ADVANC (5.8%), AOT (5.2%), GULF (4.6%)",
,,,,,,,,
ชื่อกองทุน,Header,1Y Return,Max Drawdown,vs Benchmark,Size & Valuation,Dividend / Policy,Top Holdings,
TISCOHD,TISCOHD · หุ้นไทยปันผลสูง (High Dividend),+14.2%,-10.5%,+4.6% เทียบ SET TRI,AUM ฿6.5 พันลบ. · NAV ฿16.75 · Avg P/E 10.5x · Avg P/B 1.1x,Dividend Yield 6.8% · จ่ายเงินปันผล,"KTB (8.1%), ADVANC (7.5%), INTUCH (6.2%), TISCO (5.8%), SCB (5.1%)",
SCBDV,SCBDV · หุ้นไทยใหญ่ปันผลสม่ำเสมอ,+12.8%,-11.2%,+3.2% เทียบ SET TRI,AUM ฿12.4 พันลบ. · NAV ฿13.45 · Avg P/E 12.8x · Avg P/B 1.2x,Dividend Yield 5.9% · จ่ายเงินปันผล,"PTT (7.2%), ADVANC (6.8%), KTB (6.1%), SCB (5.5%), CPALL (4.9%)",
1AMSET50-D,1AMSET50-D · หุ้นไทยดัชนี SET50 ชนิดปันผล,+6.2%,-13.8%,\-0.3% เทียบ SET TRI *(หรือ SET50 TRI)*,AUM ฿850 ลบ. · NAV ฿9.45 · Avg P/E 14.5x · Avg P/B 1.4x,Dividend Yield 5.2% · จ่ายเงินปันผล,"DELTA (9.8%), PTT (6.5%), ADVANC (5.8%), AOT (5.2%), GULF (4.6%)",
LHSTOCKS-D,LHSTOCKS-D · หุ้นไทยปัจจัยพื้นฐานดี,+7.8%,-12.1%,-1.8% เทียบ SET TRI,AUM ฿1.2 พันลบ. · NAV ฿10.15 · Avg P/E 13.8x · Avg P/B 1.3x,Dividend Yield 4.8% · จ่ายเงินปันผล,"BDMS (7.1%), CPALL (6.8%), CPN (5.9%), MINT (4.8%), BH (4.2%)",
